epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5079,3.45118,39.3624,3.34574,0,0,0,0,0,0,0,8e-05,8e-05,8e-05
2,69.7055,3.56258,35.7097,3.37904,0,0,0,0,0,0,0,0.000176436,0.000176436,0.000176436
3,102.321,3.58841,32.0534,3.51919,0,0,0,0,0,0,0,0.000268912,0.000268912,0.000268912
4,135.77,2.033,14.7695,2.20035,0,0,0,0,0,0,0,0.000357428,0.000357428,0.000357428
5,170.596,1.37163,9.54922,1.52982,0,0,0,0,0,0,0,0.000441984,0.000441984,0.000441984
6,202.709,1.08444,9.28713,1.42309,0,0,0,0,0,0,0,0.00052258,0.00052258,0.00052258
7,234.503,1.036,9.00403,1.40061,0,0,0,0,0,0,0,0.000599216,0.000599216,0.000599216
8,266.569,1.03152,7.63391,1.37792,0,0,0,0,0,0,0,0.000671892,0.000671892,0.000671892
9,300.48,0.98993,6.7181,1.40244,0,0,0,0,0,0,0,0.000740608,0.000740608,0.000740608
10,333.679,0.91636,6.09346,1.42692,0,0,0,0,0,0,0,0.000805364,0.000805364,0.000805364
11,366.52,0.96865,6.66269,1.28455,0,0,0,0,0,0,0,0.00086616,0.00086616,0.00086616
12,398.729,0.93178,5.75469,1.37493,0,0,0,0,0,0,0,0.000922996,0.000922996,0.000922996
13,432.324,0.89053,5.61406,1.30392,0,0,0,0,0,0,0,0.000975872,0.000975872,0.000975872
14,466.367,0.93912,4.65897,1.24761,0,0,0,0,0,0,0,0.00102479,0.00102479,0.00102479
15,499.259,0.83707,4.79554,1.26429,0,0,0,0,0,0,0,0.00106974,0.00106974,0.00106974
16,532.233,0.88118,4.7864,1.21193,0,0,0,0,0,0,0,0.00111074,0.00111074,0.00111074
17,566.215,0.96004,5.00877,1.26344,0,0,0,0,0,0,0,0.00114778,0.00114778,0.00114778
18,602.762,0.87537,3.63719,1.1933,0,0,0,0,0,0,0,0.00118085,0.00118085,0.00118085
19,639.883,0.86638,3.81902,1.26891,0,0,0,0,0,0,0,0.00120997,0.00120997,0.00120997
20,676.343,0.99193,3.35441,1.33431,0,0,0,0,0,0,0,0.00123512,0.00123512,0.00123512
21,712.531,1.16166,3.45757,1.32313,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,747.475,0.83942,2.93288,1.19586,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,782.07,0.8192,2.93534,1.17766,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,817.704,0.91424,2.7591,1.37566,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,854.523,0.9066,2.67831,1.29263,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,887.169,0.8246,2.55163,1.29857,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,920.104,0.85493,2.29746,1.17759,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,951.709,0.86291,2.05796,1.11121,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,984.523,0.96737,2.35781,1.19593,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,1017.26,0.81062,2.16185,1.19255,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,1049,0.76598,2.15038,1.1473,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,1082.27,0.76895,1.84042,1.25112,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,1114.02,0.78434,2.01877,1.17816,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,1145.81,0.68193,1.71666,1.08339,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,1179.4,0.70215,1.73729,1.13921,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,1212.78,0.67437,1.62873,1.08819,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,1245.73,0.63664,1.53564,1.13212,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,1277.94,0.67806,1.54753,1.17217,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,1310.65,0.65003,1.49601,1.09674,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,1344.15,0.65736,1.57259,1.13466,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,1385.21,0.67051,2.07419,1.22338,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,1417.13,0.61626,2.06036,1.15017,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,1449.33,0.59007,1.96748,1.14108,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,1481.83,0.62569,1.99238,1.08531,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,1514.37,0.62837,1.97302,1.10567,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,1546.36,0.64208,1.93123,1.13747,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,1578.16,0.63318,1.89126,1.10281,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,1610.23,0.57827,1.91632,1.09973,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,1642.18,0.56371,1.88655,1.08628,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,1678.82,0.54611,1.83061,1.14095,1,0.84049,0.8953,0.69332,0.86999,0.81203,1.66055,5.96e-05,5.96e-05,5.96e-05
